title,description,type,location,owner
Software Engineer,"Develop scalable cloud solutions and microservices.",Full-time,Bangalore,Google_HR
Data Scientist,"Analyze complex datasets to drive product innovation.",Full-time,Hyderabad,MSFT_Recruit
Frontend Developer,"Build immersive user interfaces using React and Tailwind.",Remote,Remote,Meta_Talent
Systems Architect,"Design robust backend infrastructure for global traffic.",Full-time,Chennai,AWS_Careers
Cybersecurity Analyst,"Protect enterprise networks from advanced threats.",Contract,Pune,IBM_Security
DevOps Engineer,"Automate CI/CD pipelines and manage Kubernetes clusters.",Full-time,Mumbai,Netflix_Eng
Product Manager,"Lead cross-functional teams to launch consumer features.",Full-time,Delhi,Apple_Prod
AI Researcher,"Develop next-generation machine learning models.",Remote,Bangalore,Nvidia_AI
UX Designer,"Create intuitive user journeys for mobile applications.",Part-time,Noida,Adobe_Design
Backend Developer,"Optimize database performance and API integrations.",Full-time,Bangalore,Oracle_Corp