title,description,company,location,owner
Software Engineer,Develop scalable cloud solutions and microservices.,Google,Bangalore,Google_HR
Data Scientist,Analyze complex datasets to drive product innovation.,Microsoft,Hyderabad,MSFT_Recruit
Frontend Developer,Build immersive user interfaces using React and Tailwind.,Meta,Remote,Meta_Talent
Systems Architect,Design robust backend infrastructure for global traffic.,Amazon,Chennai,AWS_Careers
Cybersecurity Analyst,Protect enterprise networks from advanced threats.,IBM,Pune,IBM_Security
DevOps Engineer,Automate CI/CD pipelines and manage Kubernetes clusters.,Netflix,Mumbai,Netflix_Eng
Product Manager,Lead cross-functional teams to launch consumer features.,Apple,Delhi,Apple_Prod
AI Researcher,Develop next-generation machine learning models.,NVIDIA,Bangalore,Nvidia_AI
UX Designer,Create intuitive user journeys for mobile applications.,Adobe,Noida,Adobe_Design
Backend Developer,Optimize database performance and API integrations.,Oracle,Bangalore,Oracle_Corp